state,district,market,commodity_group,commodity,date,arrival_quantity,arrival_unit,modal_price,price_unit
Maharashtra,Mumbai,Mumbai Apmc,Vegetables,Tomato,2025-01-01,203.5,Metric Tonnes,1400.0,Rs./Quintal
Maharashtra,Mumbai,Mumbai Apmc,Vegetables,Tomato,2025-01-02,251.6,Metric Tonnes,1300.0,Rs./Quintal
Maharashtra,Mumbai,Mumbai Apmc,Vegetables,Tomato,2025-01-03,284.2,Metric Tonnes,1200.0,Rs./Quintal
Maharashtra,Mumbai,Mumbai Apmc,Vegetables,Tomato,2025-01-04,261.0,Metric Tonnes,1300.0,Rs./Quintal
Maharashtra,Mumbai,Mumbai Apmc,Vegetables,Tomato,2025-01-06,317.2,Metric Tonnes,1400.0,Rs./Quintal
Maharashtra,Mumbai,Mumbai Apmc,Vegetables,Tomato,2025-01-07,183.4,Metric Tonnes,1600.0,Rs./Quintal
Maharashtra,Mumbai,Mumbai Apmc,Vegetables,Tomato,2025-01-08,245.9,Metric Tonnes,1400.0,Rs./Quintal
Maharashtra,Mumbai,Mumbai Apmc,Vegetables,Tomato,2025-01-09,75.5,Metric Tonnes,1200.0,Rs./Quintal
Maharashtra,Mumbai,Mumbai Apmc,Vegetables,Tomato,2025-01-10,208.6,Metric Tonnes,1400.0,Rs./Quintal
Maharashtra,Mumbai,Mumbai Apmc,Vegetables,Tomato,2025-01-14,201.2,Metric Tonnes,1400.0,Rs./Quintal
Maharashtra,Mumbai,Mumbai Apmc,Vegetables,Tomato,2025-01-15,226.1,Metric Tonnes,1300.0,Rs./Quintal
Maharashtra,Mumbai,Mumbai Apmc,Vegetables,Tomato,2025-01-16,191.8,Metric Tonnes,1200.0,Rs./Quintal
Maharashtra,Mumbai,Mumbai Apmc,Vegetables,Tomato,2025-01-17,286.0,Metric Tonnes,1100.0,Rs./Quintal
Maharashtra,Mumbai,Mumbai Apmc,Vegetables,Tomato,2025-01-18,371.9,Metric Tonnes,1100.0,Rs./Quintal
Maharashtra,Mumbai,Mumbai Apmc,Vegetables,Tomato,2025-01-20,328.8,Metric Tonnes,1000.0,Rs./Quintal
Maharashtra,Mumbai,Mumbai Apmc,Vegetables,Tomato,2025-01-21,198.6,Metric Tonnes,900.0,Rs./Quintal
Maharashtra,Mumbai,Mumbai Apmc,Vegetables,Tomato,2025-01-22,20.0,Metric Tonnes,900.0,Rs./Quintal
Maharashtra,Mumbai,Mumbai Apmc,Vegetables,Tomato,2025-01-23,147.9,Metric Tonnes,1100.0,Rs./Quintal
Maharashtra,Mumbai,Mumbai Apmc,Vegetables,Tomato,2025-01-24,229.7,Metric Tonnes,1200.0,Rs./Quintal
Maharashtra,Mumbai,Mumbai Apmc,Vegetables,Tomato,2025-01-25,222.8,Metric Tonnes,1200.0,Rs./Quintal
Maharashtra,Mumbai,Mumbai Apmc,Vegetables,Tomato,2025-01-28,246.2,Metric Tonnes,1200.0,Rs./Quintal
Maharashtra,Mumbai,Mumbai Apmc,Vegetables,Tomato,2025-01-29,245.3,Metric Tonnes,1200.0,Rs./Quintal
Maharashtra,Mumbai,Mumbai Apmc,Vegetables,Tomato,2025-01-30,192.1,Metric Tonnes,900.0,Rs./Quintal
Maharashtra,Mumbai,Mumbai Apmc,Vegetables,Tomato,2025-01-31,206.3,Metric Tonnes,900.0,Rs./Quintal
Maharashtra,Mumbai,Mumbai Apmc,Vegetables,Tomato,2025-02-01,480.0,Metric Tonnes,900.0,Rs./Quintal
Maharashtra,Mumbai,Mumbai Apmc,Vegetables,Tomato,2025-02-03,480.4,Metric Tonnes,1200.0,Rs./Quintal
Maharashtra,Mumbai,Mumbai Apmc,Vegetables,Tomato,2025-02-04,224.7,Metric Tonnes,1200.0,Rs./Quintal
Maharashtra,Mumbai,Mumbai Apmc,Vegetables,Tomato,2025-02-05,281.2,Metric Tonnes,1200.0,Rs./Quintal
Maharashtra,Mumbai,Mumbai Apmc,Vegetables,Tomato,2025-02-06,245.3,Metric Tonnes,900.0,Rs./Quintal
Maharashtra,Mumbai,Mumbai Apmc,Vegetables,Tomato,2025-02-07,213.1,Metric Tonnes,1300.0,Rs./Quintal
Maharashtra,Mumbai,Mumbai Apmc,Vegetables,Tomato,2025-02-13,154.2,Metric Tonnes,900.0,Rs./Quintal
Maharashtra,Mumbai,Mumbai Apmc,Vegetables,Tomato,2025-02-15,203.2,Metric Tonnes,1200.0,Rs./Quintal
Maharashtra,Mumbai,Mumbai Apmc,Vegetables,Tomato,2025-02-17,216.5,Metric Tonnes,1300.0,Rs./Quintal
Maharashtra,Mumbai,Mumbai Apmc,Vegetables,Tomato,2025-02-18,213.3,Metric Tonnes,1300.0,Rs./Quintal
Maharashtra,Mumbai,Mumbai Apmc,Vegetables,Tomato,2025-02-19,221.2,Metric Tonnes,1200.0,Rs./Quintal
Maharashtra,Mumbai,Mumbai Apmc,Vegetables,Tomato,2025-02-20,205.9,Metric Tonnes,1200.0,Rs./Quintal
Maharashtra,Mumbai,Mumbai Apmc,Vegetables,Tomato,2025-02-21,227.6,Metric Tonnes,1200.0,Rs./Quintal
Maharashtra,Mumbai,Mumbai Apmc,Vegetables,Tomato,2025-02-22,238.7,Metric Tonnes,1100.0,Rs./Quintal
Maharashtra,Mumbai,Mumbai Apmc,Vegetables,Tomato,2025-02-24,235.8,Metric Tonnes,1200.0,Rs./Quintal
Maharashtra,Mumbai,Mumbai Apmc,Vegetables,Tomato,2025-02-25,207.9,Metric Tonnes,1200.0,Rs./Quintal
Maharashtra,Mumbai,Mumbai Apmc,Vegetables,Tomato,2025-02-26,206.5,Metric Tonnes,1200.0,Rs./Quintal
Maharashtra,Mumbai,Mumbai Apmc,Vegetables,Tomato,2025-02-27,168.9,Metric Tonnes,1200.0,Rs./Quintal
Maharashtra,Mumbai,Mumbai Apmc,Vegetables,Tomato,2025-02-28,204.2,Metric Tonnes,1200.0,Rs./Quintal
Maharashtra,Mumbai,Mumbai Apmc,Vegetables,Tomato,2025-03-01,307.2,Metric Tonnes,1200.0,Rs./Quintal
Maharashtra,Mumbai,Mumbai Apmc,Vegetables,Tomato,2025-03-03,183.1,Metric Tonnes,1200.0,Rs./Quintal
Maharashtra,Mumbai,Mumbai Apmc,Vegetables,Tomato,2025-03-04,183.9,Metric Tonnes,1200.0,Rs./Quintal
Maharashtra,Mumbai,Mumbai Apmc,Vegetables,Tomato,2025-03-05,196.6,Metric Tonnes,1200.0,Rs./Quintal
Maharashtra,Mumbai,Mumbai Apmc,Vegetables,Tomato,2025-03-06,186.7,Metric Tonnes,1099.0,Rs./Quintal
Maharashtra,Mumbai,Mumbai Apmc,Vegetables,Tomato,2025-03-07,152.8,Metric Tonnes,1100.0,Rs./Quintal
Maharashtra,Mumbai,Mumbai Apmc,Vegetables,Tomato,2025-03-08,217.0,Metric Tonnes,1100.0,Rs./Quintal
Maharashtra,Mumbai,Mumbai Apmc,Vegetables,Tomato,2025-03-10,198.2,Metric Tonnes,1200.0,Rs./Quintal
Maharashtra,Mumbai,Mumbai Apmc,Vegetables,Tomato,2025-03-11,216.0,Metric Tonnes,1200.0,Rs./Quintal
Maharashtra,Mumbai,Mumbai Apmc,Vegetables,Tomato,2025-03-12,145.8,Metric Tonnes,1200.0,Rs./Quintal
Maharashtra,Mumbai,Mumbai Apmc,Vegetables,Tomato,2025-03-13,212.6,Metric Tonnes,1200.0,Rs./Quintal
Maharashtra,Mumbai,Mumbai Apmc,Vegetables,Tomato,2025-03-15,233.6,Metric Tonnes,1100.0,Rs./Quintal
Maharashtra,Mumbai,Mumbai Apmc,Vegetables,Tomato,2025-03-17,212.7,Metric Tonnes,1300.0,Rs./Quintal
Maharashtra,Mumbai,Mumbai Apmc,Vegetables,Tomato,2025-03-18,300.7,Metric Tonnes,1200.0,Rs./Quintal
Maharashtra,Mumbai,Mumbai Apmc,Vegetables,Tomato,2025-03-19,267.4,Metric Tonnes,1100.0,Rs./Quintal
Maharashtra,Mumbai,Mumbai Apmc,Vegetables,Tomato,2025-03-20,172.6,Metric Tonnes,900.0,Rs./Quintal
Maharashtra,Mumbai,Mumbai Apmc,Vegetables,Tomato,2025-03-21,146.8,Metric Tonnes,1200.0,Rs./Quintal
Maharashtra,Mumbai,Mumbai Apmc,Vegetables,Tomato,2025-03-22,229.9,Metric Tonnes,1100.0,Rs./Quintal
Maharashtra,Mumbai,Mumbai Apmc,Vegetables,Tomato,2025-03-24,200.9,Metric Tonnes,1000.0,Rs./Quintal
Maharashtra,Mumbai,Mumbai Apmc,Vegetables,Tomato,2025-03-25,216.6,Metric Tonnes,1100.0,Rs./Quintal
Maharashtra,Mumbai,Mumbai Apmc,Vegetables,Tomato,2025-03-26,209.0,Metric Tonnes,1000.0,Rs./Quintal
Maharashtra,Mumbai,Mumbai Apmc,Vegetables,Tomato,2025-03-27,147.4,Metric Tonnes,1100.0,Rs./Quintal
Maharashtra,Mumbai,Mumbai Apmc,Vegetables,Tomato,2025-03-28,192.5,Metric Tonnes,1000.0,Rs./Quintal
Maharashtra,Mumbai,Mumbai Apmc,Vegetables,Tomato,2025-03-31,179.3,Metric Tonnes,1100.0,Rs./Quintal
Maharashtra,Mumbai,Mumbai Apmc,Vegetables,Tomato,2025-04-01,172.7,Metric Tonnes,1100.0,Rs./Quintal
Maharashtra,Mumbai,Mumbai Apmc,Vegetables,Tomato,2025-04-02,253.0,Metric Tonnes,1100.0,Rs./Quintal
Maharashtra,Mumbai,Mumbai Apmc,Vegetables,Tomato,2025-04-03,190.0,Metric Tonnes,1100.0,Rs./Quintal
Maharashtra,Mumbai,Mumbai Apmc,Vegetables,Tomato,2025-04-04,199.7,Metric Tonnes,1100.0,Rs./Quintal
Maharashtra,Mumbai,Mumbai Apmc,Vegetables,Tomato,2025-04-07,215.9,Metric Tonnes,1200.0,Rs./Quintal
Maharashtra,Mumbai,Mumbai Apmc,Vegetables,Tomato,2025-04-08,177.5,Metric Tonnes,1000.0,Rs./Quintal
Maharashtra,Mumbai,Mumbai Apmc,Vegetables,Tomato,2025-04-10,148.6,Metric Tonnes,1200.0,Rs./Quintal
Maharashtra,Mumbai,Mumbai Apmc,Vegetables,Tomato,2025-04-11,165.9,Metric Tonnes,1200.0,Rs./Quintal
Maharashtra,Mumbai,Mumbai Apmc,Vegetables,Tomato,2025-04-14,255.0,Metric Tonnes,1200.0,Rs./Quintal
Maharashtra,Mumbai,Mumbai Apmc,Vegetables,Tomato,2025-04-15,229.7,Metric Tonnes,1200.0,Rs./Quintal
Maharashtra,Mumbai,Mumbai Apmc,Vegetables,Tomato,2025-04-16,197.2,Metric Tonnes,1100.0,Rs./Quintal
Maharashtra,Mumbai,Mumbai Apmc,Vegetables,Tomato,2025-04-17,136.5,Metric Tonnes,1100.0,Rs./Quintal
Maharashtra,Mumbai,Mumbai Apmc,Vegetables,Tomato,2025-04-21,317.3,Metric Tonnes,1300.0,Rs./Quintal
Maharashtra,Mumbai,Mumbai Apmc,Vegetables,Tomato,2025-04-22,204.7,Metric Tonnes,1400.0,Rs./Quintal
Maharashtra,Mumbai,Mumbai Apmc,Vegetables,Tomato,2025-04-23,217.4,Metric Tonnes,1200.0,Rs./Quintal
Maharashtra,Mumbai,Mumbai Apmc,Vegetables,Tomato,2025-04-24,217.8,Metric Tonnes,1050.0,Rs./Quintal
Maharashtra,Mumbai,Mumbai Apmc,Vegetables,Tomato,2025-04-25,161.3,Metric Tonnes,1200.0,Rs./Quintal
Maharashtra,Mumbai,Mumbai Apmc,Vegetables,Tomato,2025-04-26,197.8,Metric Tonnes,1200.0,Rs./Quintal
Maharashtra,Mumbai,Mumbai Apmc,Vegetables,Tomato,2025-04-29,166.8,Metric Tonnes,1300.0,Rs./Quintal
Maharashtra,Mumbai,Mumbai Apmc,Vegetables,Tomato,2025-04-30,228.8,Metric Tonnes,1200.0,Rs./Quintal
Maharashtra,Mumbai,Mumbai Apmc,Vegetables,Tomato,2025-05-01,147.7,Metric Tonnes,1400.0,Rs./Quintal
Maharashtra,Mumbai,Mumbai Apmc,Vegetables,Tomato,2025-05-02,223.9,Metric Tonnes,1100.0,Rs./Quintal
Maharashtra,Mumbai,Mumbai Apmc,Vegetables,Tomato,2025-05-03,113.5,Metric Tonnes,1300.0,Rs./Quintal
Maharashtra,Mumbai,Mumbai Apmc,Vegetables,Tomato,2025-05-05,321.0,Metric Tonnes,1300.0,Rs./Quintal
Maharashtra,Mumbai,Mumbai Apmc,Vegetables,Tomato,2025-05-06,209.1,Metric Tonnes,1200.0,Rs./Quintal
Maharashtra,Mumbai,Mumbai Apmc,Vegetables,Tomato,2025-05-07,176.5,Metric Tonnes,1250.0,Rs./Quintal
Maharashtra,Mumbai,Mumbai Apmc,Vegetables,Tomato,2025-05-08,185.7,Metric Tonnes,1200.0,Rs./Quintal
Maharashtra,Mumbai,Mumbai Apmc,Vegetables,Tomato,2025-05-09,220.4,Metric Tonnes,1250.0,Rs./Quintal
Maharashtra,Mumbai,Mumbai Apmc,Vegetables,Tomato,2025-05-12,341.5,Metric Tonnes,1200.0,Rs./Quintal
Maharashtra,Mumbai,Mumbai Apmc,Vegetables,Tomato,2025-05-13,176.4,Metric Tonnes,1200.0,Rs./Quintal
Maharashtra,Mumbai,Mumbai Apmc,Vegetables,Tomato,2025-05-15,115.6,Metric Tonnes,1200.0,Rs./Quintal
Maharashtra,Mumbai,Mumbai Apmc,Vegetables,Tomato,2025-05-16,158.5,Metric Tonnes,1600.0,Rs./Quintal
Maharashtra,Mumbai,Mumbai Apmc,Vegetables,Tomato,2025-05-17,276.0,Metric Tonnes,1600.0,Rs./Quintal
Maharashtra,Mumbai,Mumbai Apmc,Vegetables,Tomato,2025-05-19,240.8,Metric Tonnes,1600.0,Rs./Quintal
Maharashtra,Mumbai,Mumbai Apmc,Vegetables,Tomato,2025-05-20,219.1,Metric Tonnes,1600.0,Rs./Quintal
Maharashtra,Mumbai,Mumbai Apmc,Vegetables,Tomato,2025-05-21,165.7,Metric Tonnes,1700.0,Rs./Quintal
Maharashtra,Mumbai,Mumbai Apmc,Vegetables,Tomato,2025-05-22,155.6,Metric Tonnes,1400.0,Rs./Quintal
Maharashtra,Mumbai,Mumbai Apmc,Vegetables,Tomato,2025-05-23,282.8,Metric Tonnes,1900.0,Rs./Quintal
Maharashtra,Mumbai,Mumbai Apmc,Vegetables,Tomato,2025-05-24,233.7,Metric Tonnes,1800.0,Rs./Quintal
Maharashtra,Mumbai,Mumbai Apmc,Vegetables,Tomato,2025-05-26,325.4,Metric Tonnes,2000.0,Rs./Quintal
Maharashtra,Mumbai,Mumbai Apmc,Vegetables,Tomato,2025-05-27,283.5,Metric Tonnes,2000.0,Rs./Quintal
Maharashtra,Mumbai,Mumbai Apmc,Vegetables,Tomato,2025-05-28,947.3,Metric Tonnes,1800.0,Rs./Quintal
